ipst,dtype,total_mb,subarray,detector,crsplit,x_size,pctecorr,mem_bin,memory,instr,drizcorr,wallclock,n_files,timestamp,x_files
iabf02k4q,0,60,0,0,0,1.2638087632649526,0,0,0.63388,3,1,99,2,1620740441,-0.7780152036830672
ib1m08adq,0,2,1,0,0,-0.7662158670999736,0,0,0.4750720000000001,3,1,51,2,1620740441,-0.7780152036830672
la9t71h5q,0,0,0,0,0,-1.6157022275450914,0,0,0.454672,1,0,15,2,1620740441,-0.7780152036830672
j8i0bmrfq,0,34,0,1,2,0.919839605356715,1,1,2.0426040000000003,0,1,1893,2,1620740441,-0.7780152036830672
j8i0btueq,0,34,0,1,2,0.919839605356715,1,1,2.043616,0,1,1586,2,1620740441,-0.7780152036830672
j8ig01hiq,0,2,0,0,2,-0.7662158670999736,0,0,0.483576,0,1,29,2,1620740441,-0.7780152036830672
laaf03hbq,0,0,0,0,0,-1.6157022275450914,0,0,0.462208,1,0,19,2,1620740441,-0.7780152036830672
j6d510ahq,0,34.3,0,1,1,0.9252225381380749,1,0,0.76,0,1,2292,1,1620740441,-3.2299932216233636
la9k04o2q,0,2,1,0,0,-0.7662158670999736,0,0,0.45614,1,0,28,2,1620740441,-0.7780152036830672
iab101aaq,0,35,0,0,0,0.9375950901966635,0,0,0.6672359999999999,3,1,70,2,1620740441,-0.7780152036830672
la8125f4q,0,19,1,0,0,0.5600260186195137,0,0,0.53008,1,0,91,2,1620740441,-0.7780152036830672
j8r024030,1,69,0,1,2,1.3470427631721529,1,1,2.81202,0,1,3229,5,1620740441,1.0921440788857568
ibbw09n6q,0,24,0,0,0,0.7051335898518772,0,0,0.583808,3,1,84,2,1620740441,-0.7780152036830672
j8qh02040,1,9,0,0,2,0.09506200417781331,0,0,0.6654359999999999,0,1,120,9,1620740441,1.6313035653743424
la8o21gzq,0,3,0,0,0,-0.5539994961835305,0,0,1.538608,1,0,67,3,1620740441,0.2397118177539458
la9k02c7q,0,1,1,0,0,-1.0724141621312375,0,0,0.45554,1,0,22,2,1620740441,-0.7780152036830672
